"","X","index","func","f.0.hat","alpha","u","w","length","time","loglik"
"16",16,"2 Mid.273","con.f.con.u",7.85508805742698,NA,0.000386557395547442,NA,1.12794592922034,0.361111111,-0.0745750774443081
"17",17,"3 A43","con.f.con.u",5.84261158283334,NA,0.000636139396034596,NA,1.44190487859649,0.369444444,-6.69960911597206
"18",18,"3 A45","con.f.con.u",7.1621956616058,NA,0.000843749349415339,NA,1.5157437575,0.363194444,-8.70442370086808
"19",19,"3 Bris.10","con.f.con.u",6.38212869852397,NA,0.000203693219704552,NA,1.36795572035294,0.377083333,11.6951427264894
"20",20,"3 Bris.111","con.f.con.u",5.96317216231855,NA,0.000191312744557304,NA,1.45963506488136,0.376388889,0.637592886082151
"21",21,"3 Bris.112","con.f.con.u",8.08055650850359,NA,0.000438346335295507,NA,1.47207530206897,0.373611111,-0.288878640501739
"22",22,"3 Bris.6","con.f.con.u",9.72830612196194,NA,0.000707431273067536,NA,1.4005623242069,0.371527778,-22.6359672996342
"23",23,"3 Cback.276","con.f.con.u",8.47926502172432,NA,0.000715975233932707,NA,1.35238527152542,0.4,-19.8134339829484
"24",24,"3 Mid.244","con.f.con.u",7.7805467462359,NA,0.00036937685915963,NA,1.41194354721951,0.388888889,-0.86224948512702
"25",25,"3 Mid.252","con.f.con.u",8.0028373631676,NA,0.000237095362624384,NA,1.36394412,0.39375,27.2924767743891
"26",26,"3 Mid.281","con.f.con.u",7.07805152764705,NA,0.000107268352435559,NA,1.44680455536842,0.392361111,3.88213030291378
"27",27,"3 War.5","con.f.con.u",7.85442365640812,NA,0.000222630918444576,NA,1.37220044033898,0.402777778,-4.33870758442116
"28",1,"1 A45","exp.f.con.u",16.7804242530499,-0.0015125981131643,0.000791028101692339,NA,1.211312278,0.361805556,-17.0755009825354
"29",2,"1 Bris.10","exp.f.con.u",14.126176820429,-0.00284860834639712,0.00052326840657568,NA,1.13878509083929,0.353497023589286,-2.0735646379658
"30",3,"1 Bris.112","exp.f.con.u",12.9971738657228,-0.00224952977596908,0.000626968037267867,NA,1.10486690375,0.354166667,7.09436912652191
"31",4,"1 Bris.6","exp.f.con.u",5.96668113739741,-0.000657148666070282,0.00190449044990839,NA,1.22824559792593,0.354861111,6.16080909321905
"32",5,"1 Cback.256","exp.f.con.u",11.9449724176656,-0.00233041637440079,0.00224527254429675,NA,0.9976276991,0.377777778,-2.16639499001606
"33",6,"1 Dog.4","exp.f.con.u",7.26058855122395,-0.000569704076318444,0.0011572990689545,NA,1.183708647,0.36875,1.09226490210097
"34",7,"1 Mid.276","exp.f.con.u",15.1230200969576,-0.00756144245630587,0.00258675678172671,NA,0.989833732898305,0.365972222,-4.36883205743018
"35",8,"1 Mid.277","exp.f.con.u",18.4086061903241,-0.00254957201601065,0.00113175316342109,NA,1.05608244710169,0.373611111,-6.07235393923233
"36",9,"1 War.5","exp.f.con.u",14.8284394040888,-0.00119301597657271,0.000415245547759189,NA,1.18723608884211,0.377777778,-2.49762872219396
"37",10,"2 A45","exp.f.con.u",14.6305044760371,-0.00110689085320462,0.00037349274026237,NA,1.2272002925,0.359722222,13.4327111396102
"38",11,"2 A48","exp.f.con.u",13.3283822384635,-0.00189769254204092,0.000606964057616189,NA,1.11175550446154,0.35625,8.33816802179134
"39",12,"2 Bris.10","exp.f.con.u",13.3795234246174,-0.00777968196903037,0.00058097536387602,NA,1.20990299162264,0.357638889,38.9931514605414
"40",13,"2 Dog.4","exp.f.con.u",11.4502828549658,-0.00189185792633719,0.000608488520695739,NA,1.16234332106667,0.359722222,24.2976812210838
"41",14,"2 Is.278","exp.f.con.u",11.8867271604193,-0.0114742689758358,0.00101184493115333,NA,1.06060503266667,0.363888889,37.5797768272527
"42",15,"2 Mid.263","exp.f.con.u",12.3777466001967,-0.0021262879164072,0.000436224093433037,NA,1.0843355754,0.357638889,42.2605480119057
"43",16,"2 Mid.273","exp.f.con.u",11.5570680702535,-0.00249111715673774,0.000571481784841873,NA,1.12794592922034,0.361111111,9.91334286264721
"44",17,"3 A43","exp.f.con.u",7.79023940743399,-0.000954929226334517,0.000715238645562059,NA,1.44190487859649,0.369444444,-0.298506723812384
"45",18,"3 A45","exp.f.con.u",7.17747526022459,-6.48090787268953e-06,0.000844524797381969,NA,1.5157437575,0.363194444,-8.70400715480812
"46",19,"3 Bris.10","exp.f.con.u",8.56031762849699,-0.0013198420723798,0.000278281880908062,NA,1.36795572035294,0.377083333,29.2356958854428
"47",20,"3 Bris.111","exp.f.con.u",8.58542673879943,-0.00140610006158119,0.000265744863822597,NA,1.45963506488136,0.376388889,15.3896151639706
"48",21,"3 Bris.112","exp.f.con.u",9.08467024938112,-0.000397526068841954,0.000464879934993698,NA,1.47207530206897,0.373611111,2.3729941151116
"49",22,"3 Bris.6","exp.f.con.u",12.0640199402655,-0.000941259066679603,0.00083945467140635,NA,1.4005623242069,0.371527778,-15.2772740538539
"50",23,"3 Cback.276","exp.f.con.u",11.0949517708689,-0.00116754346931095,0.000859624026323603,NA,1.35238527152542,0.4,-9.54429940619331
"51",24,"3 Mid.244","exp.f.con.u",9.49315739223078,-0.000680230976883625,0.000429534031170196,NA,1.41194354721951,0.388888889,5.14677731090548
"52",25,"3 Mid.252","exp.f.con.u",7.65598052000058,0.000171303110089011,0.000231089432450882,NA,1.36394412,0.39375,27.8220209511785
"53",26,"3 Mid.281","exp.f.con.u",9.63153234977592,-0.00117336956861471,0.00014047137985655,NA,1.44680455536842,0.392361111,16.8548342514076
"54",27,"3 War.5","exp.f.con.u",10.1672728409279,-0.0011062944151146,0.000275315725859124,NA,1.37220044033898,0.402777778,6.05930923478478
"55",1,"1 A45","con.f.exp.u",13.3513916948474,NA,0.00393674903253211,-0.000524296409854908,1.211312278,0.361805556,-19.0417136810372
"56",2,"1 Bris.10","con.f.exp.u",8.76393200901016,NA,0.00117620502378252,-0.000474606703464009,1.13878509083929,0.353497023589286,-18.5390945916493
"57",3,"1 Bris.112","con.f.exp.u",9.36892414684877,NA,0.0013637945403291,-0.000415804866816251,1.10486690375,0.354166667,-7.03012639923032
"58",4,"1 Bris.6","con.f.exp.u",5.34222348251331,NA,0.00378489128874282,-0.000455433159882354,1.22824559792593,0.354861111,5.6106891322896
"59",5,"1 Cback.256","con.f.exp.u",9.00808369019116,NA,0.00647476552282614,-0.000663258948724891,0.9976276991,0.377777778,-7.14412737680728
"60",6,"1 Dog.4","con.f.exp.u",6.54943397214263,NA,0.000617113882187635,0.00024602436360581,1.183708647,0.36875,0.751095278660882
"61",7,"1 Mid.276","con.f.exp.u",9.72811478823166,NA,0.00264607571091019,-0.000345050586327299,0.989833732898305,0.365972222,-19.1103746464969
"62",8,"1 Mid.277","con.f.exp.u",12.3076637222929,NA,0.00210036893125692,-0.000283935803969881,1.05608244710169,0.373611111,-24.4046442679011
"63",9,"1 War.5","con.f.exp.u",12.0413130514863,NA,0.000448913189537885,-6.06335699165757e-05,1.18723608884211,0.377777778,-13.1729116565147
"64",10,"2 A45","con.f.exp.u",11.4696131795982,NA,0.00137960105856389,-0.000390662016780287,1.2272002925,0.359722222,1.57946118511775
"65",11,"2 A48","con.f.exp.u",9.80820222848537,NA,0.00166715906008026,-0.000456141996114981,1.11175550446154,0.35625,1.51257892779962
