tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf
188,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,40,NA,NA,NA
189,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,90,NA,NA,0
190,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0
191,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,45,NA,NA,NA
192,15,0.1,D,1,NA,NA,NA,1,NA,4/13/22,NA,NA,NA,NA
193,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,83,NA,NA,0
194,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,43,NA,NA,NA
195,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
196,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0
197,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,89,NA,NA,0
198,15,0.1,D,1,NA,NA,NA,1,NA,4/14/22,NA,NA,NA,NA
199,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,83,NA,NA,0
200,15,0.1,D,1,NA,NA,NA,NA,4/16/22,NA,56,NA,NA,NA
201,15,0.1,D,1,NA,NA,NA,1,NA,4/11/22,NA,NA,NA,NA
202,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,87,NA,NA,0
203,15,0.1,D,1,NA,NA,NA,1,NA,4/14/22,NA,NA,NA,NA
204,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,41,NA,NA,NA
205,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,35,NA,NA,NA
206,15,0.1,D,1,NA,NA,NA,NA,4/12/22,NA,36,NA,NA,NA
207,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,88,NA,NA,0
208,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,91,NA,NA,0
209,15,0.1,D,1,NA,NA,NA,NA,4/12/22,NA,NA,NA,NA,NA
210,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,85,NA,NA,0
211,15,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,94,NA,NA,0
212,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,93,NA,NA,0
213,15,0.5,D,0,NA,NA,NA,NA,5/1/22,NA,55,NA,NA,0
214,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,92,NA,NA,0
215,15,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,82,NA,NA,0
216,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,95,NA,NA,0
217,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,92,NA,NA,0
218,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,85,NA,NA,0
219,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,93,NA,NA,0
220,15,0.5,D,0,NA,NA,NA,1,NA,4/10/22,NA,NA,NA,NA
221,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,88,NA,NA,0
222,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,99,NA,NA,0
223,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,92,NA,NA,0
224,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,94,NA,NA,0
225,15,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,94,NA,NA,0
226,15,0.5,D,1,1,1,NA,NA,NA,5/1/22,56,NA,NA,0
227,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,92,NA,NA,0
228,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,91,NA,NA,0
229,15,0.5,D,1,NA,NA,NA,NA,5/12/22,NA,60,NA,NA,1
230,15,0.5,D,1,1,1,NA,NA,NA,5/1/22,57,NA,NA,0
231,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,93,NA,NA,0
232,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,100,NA,NA,0
233,15,0.5,D,1,NA,NA,NA,1,NA,4/20/22,NA,NA,NA,NA
234,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,95,NA,NA,0
235,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,92,NA,NA,0
236,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,97,NA,NA,0
237,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,97,NA,NA,0
238,15,0.5,D,1,1,1,NA,NA,NA,5/1/22,58,NA,NA,0
239,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,88,NA,NA,0
240,15,0.5,D,1,NA,NA,NA,1,NA,5/14/22,NA,NA,NA,NA
241,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,94,NA,NA,0
242,15,0.5,D,1,NA,NA,NA,NA,5/4/22,NA,40,NA,NA,0
243,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,93,NA,NA,0
244,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,95,NA,NA,0
245,15,0.5,D,1,NA,NA,NA,NA,5/7/22,NA,85,NA,NA,1
246,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,94,NA,NA,0
247,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,90,NA,NA,0
248,15,0.5,D,1,NA,NA,NA,NA,4/15/22,NA,43,NA,NA,NA
249,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
250,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
